Country,City,Airport name,IATA
Australia,Rokeby,Rokeby Airport,RKY
China,Xigazê (Samzhubzê),Xigaze Peace Airport / Shigatse Air Base,RKZ
United States of America,Rolla,Rolla Downtown Airport,RLA
Germany,Laage,Rostock-Laage Airport,RLG
China,Bavannur,Bayannur Tianjitai Airport,RLK
Argentina,Merlo,Valle Del Conlara International Airport,RLO
Australia,Rosella Plains,Rosella Plains Airport,RLP
Niger,Arlit,Arlit Airport,RLT
Australia,Roma,Roma Airport,RMA
Oman,Buraimi,Buraimi Airport,RMB
India,Ramagundam,Basanth Nagar Airport,RMD
United States of America,Rome,Griffiss International Airport,RME
Egypt,Marsa Alam,Marsa Alam International Airport,RMF
United States of America,Rome,Richard B Russell Airport,RMG
Italy,Rimini (RN),Federico Fellini International Airport,RMI
Australia,,Renmark Airport,RMK
Sri Lanka,Colombo,Colombo Ratmalana Airport,RML
Papua New Guinea,,Rumginae Airport,RMN
Moldova,Chişinău,Chişinău International Airport,RMO
United States of America,Rampart,Rampart Airport,RMP
Taiwan,Taichung (Qingshui),Taichung International Airport / Ching Chuang Kang Air Base,RMQ
Germany,Ramstein-Miesenbach,Ramstein Air Base,RMS
French Polynesia,Rimatara Island,Rimatara Airport,RMT
Spain,Corvera,Región de Murcia International Airport,RMU
United States of America,Mariposa,Mariposa Yosemite Airport,RMY
Russia,Tobolsk,Remezov Airport,RMZ
Solomon Islands,Arona,Ulawa Airport,RNA
Sweden,Ronneby,Ronneby Airport,RNB
United States of America,Mc Minnville,Warren County Memorial Airport,RNC
United States of America,Universal City,Randolph Air Force Base,RND
France,Saint-Léger-sur-Roanne,Roanne-Renaison Airport,RNE
United States of America,New Richmond,New Richmond Regional Airport,RNH
Nicaragua,Corn Island,Corn Island Airport,RNI
Japan,Yoron,Yoron Airport,RNJ
Solomon Islands,Rennell Island,Rennell/Tingoa Airport,RNL
Oman,Ghaba,Qarn Alam Airport,RNM
Denmark,Rønne,Bornholm Airport,RNN
United States of America,Reno,Reno Tahoe International Airport,RNO
Marshall Islands,Rongelap Island,Rongelap Island Airport,RNP
France,"Saint-Jacques-de-la-Lande, Ille-et-Vilaine",Rennes-Saint-Jacques Airport,RNS
United States of America,Renton,Renton Municipal Airport,RNT
Malaysia,Ranau,Ranau Airport,RNU
United States of America,Rensselaer,Jasper County Airport,RNZ
United States of America,Roanoke,Roanoke–Blacksburg Regional Airport,ROA
Liberia,Monrovia,Roberts International Airport,ROB
United States of America,Rochester,Frederick Douglass Greater Rochester International Airport,ROC
South Africa,Robertson,Robertson Airport,ROD
United States of America,Montague,Montague-Yreka Rohrer Field,ROF
United States of America,Rogers,Rogers Municipal Airport-Carter Field,ROG
Australia,,Robinhood Airport,ROH
Thailand,Roi Et,Roi Et Airport,ROI
Australia,Rockhampton,Rockhampton Airport,ROK
United States of America,Roosevelt,Roosevelt Municipal Airport,ROL
Brazil,Rondonópolis,Maestro Marinho Franco Airport,ROO
Northern Mariana Islands,Rota Island,Rota International Airport,ROP
Palau,Babelthuap Island,Babelthuap Airport,ROR
Argentina,Rosario,Rosario Islas Malvinas International Airport,ROS
New Zealand,Rotorua,Rotorua Regional Airport,ROT
Russia,Rostov-on-Don,Platov International Airport,ROV
United States of America,Roswell,Roswell Air Center Airport,ROW
United States of America,Roseau,Roseau Municipal Rudy Billberg Field,ROX
Argentina,Rio Mayo,Rio Mayo Airport,ROY
Spain,Rota,Rota Naval Station Airport,ROZ
Nepal,Rolpa,Rolpa Airport,RPA
Australia,Roper Bar,Roper Bar Airport,RPB
Australia,,Ngukurr Airport,RPM
Israel,Rosh Pina,Rosh Pina Airport,RPN
India,Raipur,Swami Vivekananda Airport,RPR
Australia,Roper Valley,Roper Valley Airport,RPV
United States of America,Roundup,Roundup Airport,RPX
China,Ruoqiang Town,Ruoqiang Loulan Airport,RQA
United States of America,El Reno,El Reno Regional Airport,RQO
Iraq,Qayyarah,Qayyarah West Airport,RQW
India,Shimoga,Rashtrakavi Kuvempu Airport,RQY
Australia,,Marree Airport,RRE
Mauritius,Port Mathurin,Sir Charles Gaetan Duval Airport,RRG
India,Rourkela,Rourkela Airport,RRK
United States of America,Merrill,Merrill Municipal Airport,RRL
Mozambique,Marromeu,Marromeu Airport,RRM
French Polynesia,Raroia,Raroia Airport,RRR
Norway,Røros,Røros Airport,RRS
United States of America,Warroad,Warroad International Memorial Airport,RRT
Australia,,Robinson River Airport,RRV
Argentina,Santa Rosa,Santa Rosa Airport,RSA
Australia,,Roseberth Airport,RSB
Bahamas,Rock Sound,Rock Sound Airport,RSD
United States of America,Russian Mission,Russian Mission Airport,RSH
Saudi Arabia,Hanak,Red Sea International Airport,RSI
Indonesia,Ransiki-Papua Island,Abresso Airport,RSK
United States of America,Russell,Russell Municipal Airport,RSL
United States of America,Ruston,Ruston Regional Airport,RSN
Sudan,Ad Damazin,Damazin Airport,RSS
United States of America,Rochester,Rochester International Airport,RST
South Korea,Yeosu,Yeosu Airport,RSU
United States of America,Fort Myers,Southwest Florida International Airport,RSW
Fiji,Rotuma,Rotuma Airport,RTA
Honduras,Coxen Hole,Juan Manuel Gálvez International Airport,RTB
India,,Ratnagiri Airport,RTC
Brazil,São Paulo,Campo de Marte Airport,RTE
Indonesia,Satar Tacik,Frans Sales Lega Airport,RTG
United States of America,Okoboji,Spirit Lake Municipal Airport,RTL
Netherlands,Rotterdam,Rotterdam The Hague Airport,RTM
United States of America,Raton,Raton Municipal Airport / Crews Field,RTN
Australia,Yagoonya,Rutland Plains Airport,RTP
Australia,,Rottnest Island Airport,RTS
Australia,,Merty Merty Airport,RTY
Uganda,Arua,Arua Airport,RUA
Iran,Shahrud,Shahrud International Airport,RUD
Democratic Republic of the Congo,Butembo,Rughenda Airfield,RUE
China,Rugao (Nantong),Rugao Air Base,RUG
Saudi Arabia,Riyadh,King Khaled International Airport,RUH
United States of America,Alto,Sierra Blanca Regional Airport,RUI
Nepal,Rukumkot,Rukum Chaurjahari Airport,RUK
Maldives,Maavaarulu,Maavaarulaa Airport,RUL
Nepal,Rumjatar,Rumjatar Airport,RUM
Reunion,Sainte-Marie,Roland Garros Airport,RUN
India,Rupsi,Rupsi Airport,RUP
French Polynesia,,Rurutu Airport,RUR
Solomon Islands,Marau,Marau Airport,RUS
United States of America,Rutland,Rutland - Southern Vermont Regional Airport,RUT
Papua New Guinea,Kawbenaberi,Ruti Airport,RUU
Guatemala,Rubelsanto,Rubelsanto Airport,RUV
Honduras,Copán Ruinas,Rioamarillo Airport,RUY
Madagascar,Farafangana,Farafangana Airport,RVA
Liberia,River Cess,River Cess Airport and Heliport,RVC
Brazil,Rio Verde,General Leite de Castro Airport,RVD
Colombia,Saravena,Los Colonizadores Airport,RVE
Norway,Rørvik,"Rørvik Airport, Ryum",RVK
Finland,Rovaniemi,Rovaniemi Airport,RVN
South Africa,Reivilo,Reivilo Airport,RVO
United States of America,Green River,Green River Municipal Airport,RVR
United States of America,Tulsa,Tulsa Riverside Airport,RVS
Australia,,Ravensthorpe Airport,RVT
French Polynesia,,Raivavae Airport,RVV
Uruguay,Rivera,Presidente General Don Oscar D. Gestido International Airport,RVY
United States of America,Redwood Falls,Redwood Falls Municipal Airport,RWF
United States of America,Rocky Mount,Rocky Mount Wilson Regional Airport,RWI
United States of America,Rawlins,Rawlins Municipal Airport/Harvey Field,RWL
Ukraine,Rivne,Rivne International Airport,RWN
United States of America,Rexburg,Rexburg Madison County Airport,RXE
Philippines,Roxas City,Roxas Airport,RXS
Russia,Rybinsk,Staroselye Airport,RYB
Norway,Oslo,"Moss Airport, Rygge",RYG
Pakistan,Rahim Yar Khan,Shaikh Zaid Airport,RYK
France,Royan/Médis,Royan-Médis Airport,RYN
Argentina,Rio Turbio,28 de Noviembre Airport,RYO
Argentina,Puerto Santa Cruz,Santa Cruz Airport,RZA
Poland,Jasionka,Rzeszów-Jasionka Airport,RZE
Philippines,Taytay,Cesar Lim Rodriguez (Taytay-Sandoval) Airport,RZP
Iran,Ramsar,Ramsar Airport,RZR
Pakistan,Sawan Gas Field,Sawan Airport,RZS
Turkey,Rize,Rize–Artvin Airport,RZV
United States of America,Saratoga,Shively Field,SAA
Caribbean Netherlands,Saba,Juancho E. Yrausquin Airport,SAB
United States of America,Sacramento,Sacramento Executive Airport,SAC
United States of America,Safford,Safford Regional Airport,SAD
United States of America,Santa Fe,Santa Fe Municipal Airport,SAF
India,Kakadi,Shirdi Airport,SAG
Yemen,Sana'a,Sana'a International Airport,SAH
Cambodia,Siem Reap,Siem Reap-Angkor International Airport,SAI
Iceland,Sauðárkrókur,Sauðárkrókur Airport,SAK
El Salvador,San Salvador (San Luis Talpa),Monseñor Óscar Arnulfo Romero International Airport,SAL
Papua New Guinea,Salamo,Salamo Airport,SAM
United States of America,San Diego,San Diego International Airport,SAN
Honduras,San Pedro Sula,Ramón Villeda Morales International Airport,SAP
Bahamas,Andros Island,San Andros Airport,SAQ
United States of America,Sparta,Sparta Community Airport - Hunter Field,SAR
United States of America,Salton City,Salton Sea Airport,SAS
United States of America,San Antonio,San Antonio International Airport,SAT
United States of America,Savannah,Savannah Hilton Head International Airport,SAV
Turkey,"Pendik, Istanbul",Istanbul Sabiha Gökçen International Airport,SAW
Panama,Boca de Sábalo,Sambú Airport,SAX
Italy,Ampugnano (SI),Siena-Ampugnano Airport,SAY
Liberia,Sasstown,Sasstown Airport,SAZ
United States of America,Santa Barbara,Santa Barbara Municipal Airport,SBA
Venezuela,Santa Bárbara,Santa Bárbara de Barinas Airport,SBB
Papua New Guinea,Selbang,Selbang Airport,SBC
United States of America,San Bernardino,San Bernardino International Airport,SBD
Papua New Guinea,,Suabi Airport,SBE
Afghanistan,Sardeh Band,Sardeh Band Airport,SBF
Indonesia,Sabang,Maimun Saleh Airport,SBG
Saint Barthelemy,Gustavia / Saint-Jean,Saint Barthélemy - Rémy de Haenen Airport,SBH
Guinea,Koundara,Sambailo Airport,SBI
Brazil,São Mateus,São Mateus - Ernesto Bonomo Airport,SBJ
France,"Trémuson, Côtes-d'Armor",Saint-Brieuc-Armor Airport,SBK
Bolivia,Santa Ana del Yacuma,Santa Ana Del Yacuma Airport,SBL
United States of America,Sheboygan,Sheboygan County Memorial Airport,SBM
United States of America,South Bend,South Bend Regional Airport,SBN
United States of America,Salina,Salina Gunnison Airport,SBO
United States of America,San Luis Obispo,San Luis County Regional Airport,SBP
Pakistan,Sibi,Sibi Airport,SBQ
Australia,Saibai Island,Saibai Island Airport,SBR
United States of America,Steamboat Springs,Steamboat Springs Bob Adams Field,SBS
Russia,Sabetta,Sabetta International Airport,SBT
South Africa,Springbok,Springbok Airport,SBU
Papua New Guinea,Sabah,Sabah Airport,SBV
Malaysia,Sibu,Sibu Airport,SBW
United States of America,Shelby,Shelby Airport,SBX
United States of America,Salisbury,Salisbury Ocean City Wicomico Regional Airport,SBY
Romania,Sibiu,Sibiu International Airport,SBZ
United States of America,Scribner,Scribner State Airport,SCB
United States of America,Deadhorse,Deadhorse Airport,SCC
Honduras,Sulaco,Sulaco Airport,SCD
United States of America,State College,State College Regional Airport,SCE
United States of America,Scottsdale,Scottsdale Airport,SCF
Australia,,Spring Creek Airport,SCG
United States of America,Schenectady,Schenectady County Airport,SCH
Venezuela,,Paramillo Airport,SCI
United States of America,Stockton,Stockton Metropolitan Airport,SCK
Chile,Santiago,Comodoro Arturo Merino Benítez International Airport,SCL
United States of America,Scammon Bay,Scammon Bay Airport,SCM
Germany,Saarbrücken,Saarbrücken Airport,SCN
Kazakhstan,Aktau,Aktau Airport,SCO
France,,Mont-Dauphin - St-Crépin Airfield,SCP
Spain,Santiago de Compostela,Santiago-Rosalía de Castro Airport,SCQ
Sweden,Malung-Sälen,Scandinavian Mountains Airport,SCR
Yemen,Socotra Islands,Socotra International Airport,SCT
Cuba,Santiago,Antonio Maceo International Airport,SCU
Romania,Suceava,Suceava Stefan cel Mare Airport,SCV
Russia,Syktyvkar,Syktyvkar Airport,SCW
Mexico,Salina Cruz,Estación Aeronaval de Salina Cruz,SCX
Ecuador,Puerto Baquerizo Moreno,San Cristóbal Airport,SCY
Solomon Islands,Santa Cruz/Graciosa Bay/Luova,Santa Cruz/Graciosa Bay/Luova Airport,SCZ
South Africa,Langebaanweg,Langebaanweg Airport,SDB
Guyana,Sand Creek,Sand Creek Airport,SDC
Angola,Lubango,Lubango Airport,SDD
Argentina,Santiago del Estero,Vicecomodoro Angel D. La Paz Aragonés Airport,SDE
United States of America,Louisville,Louisville Muhammad Ali International Airport,SDF
Iran,,Sanandaj Airport,SDG
Papua New Guinea,Saidor,Saidor Airport,SDI
Japan,Natori,Sendai Airport,SDJ
Malaysia,Sandakan,Sandakan Airport,SDK
Sweden,Sundsvall/ Härnösand,Sundsvall-Härnösand Airport,SDL
United States of America,San Diego,Brown Field Municipal Airport,SDM
Norway,Sandane,"Sandane Airport, Anda",SDN
United States of America,Sand Point,Sand Point Airport,SDP
Dominican Republic,Santo Domingo,Las Américas International Airport,SDQ
Spain,Santander,Seve Ballesteros-Santander Airport,SDR
Japan,Sado,Sado Airport,SDS
Pakistan,Saidu Sharif,Saidu Sharif Airport,SDT
Brazil,Rio de Janeiro,Santos Dumont Airport,SDU
India,Sindhudurg,Sindhudurg Airport,SDW
United States of America,Sedona,Sedona Airport,SDX
United States of America,Sidney,Sidney - Richland Regional Airport,SDY
United States of America,Seattle,Seattle–Tacoma International Airport,SEA
Libya,Sabha,Sabha Airport,SEB
United States of America,San Diego/El Cajon,Gillespie Field,SEE
United States of America,Sebring,Sebring Regional Airport,SEF
United States of America,Selinsgrove,Penn Valley Airport,SEG
Indonesia,Senggeh,Senggeh Airport,SEH
Russia,Srednekolymsk,Srednekolymsk Airport,SEK
United States of America,Selma,Craig Field,SEM
United Kingdom,"Southend-on-Sea, Essex",London Southend Airport,SEN
Ivory Coast,Séguéla,Séguéla Airport,SEO
United States of America,Stephenville,Stephenville Clark Regional Airport,SEP
Indonesia,Bengkalis-Sumatra Island,Sungai Pakning Bengkalis Airport,SEQ
United States of America,Seymour,Freeman Municipal Airport,SER
Russia,Svetlogorsk,Svetlogorsk Airport,SES
Brazil,Serra Talhada,Santa Magalhães Airport,SET
Tanzania,Seronera,Seronera Airport,SEU
Egypt,Siwa Oasis,Siwa Oasis North Airport,SEW
Mauritania,Sélibaby,Sélibaby Airport,SEY
Seychelles,Mahe Island,Seychelles International Airport,SEZ
Tunisia,Sfax,Sfax Thyna International Airport,SFA
United States of America,Orlando,Orlando Sanford International Airport,SFB
Guadeloupe,St-François,St-François Airport,SFC
Venezuela,Inglaterra,San Fernando De Apure Airport,SFD
Philippines,,San Fernando Airport,SFE
United States of America,Spokane,Felts Field,SFF
Saint Martin,Grand Case,Grand Case-Espérance Airport,SFG
Mexico,Mexicali,Aeropuerto Internacional San Felipe,SFH
Greenland,Kangerlussuaq,Kangerlussuaq Airport,SFJ
Brazil,Soure,Soure Airport,SFK
Cape Verde,São Filipe,São Filipe Airport,SFL
United States of America,Sanford,Sanford Seacoast Regional Airport,SFM
Argentina,Santa Fe,Sauce Viejo Airport,SFN
United States of America,San Francisco,San Francisco International Airport,SFO
Philippines,Olongapo,Subic Bay International Airport / Naval Air Station Cubi Point,SFS
Sweden,Skellefteå,Skellefteå Airport,SFT
Papua New Guinea,Safia,Safia Airport,SFU
Venezuela,Ciudad Guayana,Macagua Airport,SFX
United States of America,Pawtucket,North Central State Airport,SFZ
Afghanistan,Shiveh,Sheghnan Airport,SGA
Russia,Surgut,Surgut Airport,SGC
Denmark,Sønderborg,Sønderborg Airport,SGD
Germany,Burbach,Siegerland Airport,SGE
United States of America,Springfield,Springfield Branson National Airport,SGF
United States of America,Springfield,Springfield-Beckley Municipal Airport,SGH
Pakistan,Sargodha,Mushaf Air Base,SGI
Papua New Guinea,Sengapi,Sengapi Airstrip,SGK
Philippines,Cavite,Danilo Atienza Air Base,SGL
Mexico,Mulegé,San Ignacio Airport,SGM
Vietnam,Ho Chi Minh City,Tan Son Nhat International Airport,SGN
Australia,,St George Airport,SGO
Australia,Shay Gap,Shay Gap Airport,SGP
Indonesia,Sanggata/Sangkimah,Sanggata/Sangkimah Airport,SGQ
United States of America,Houston,Sugar Land Regional Airport,SGR
United States of America,Stuttgart,Stuttgart Municipal Airport / Carl Humphrey Field,SGT
United States of America,St George,St George Regional Airport,SGU
Argentina,Sierra Grande,Sierra Grande Airport,SGV
Tanzania,Songea,Songea Airport,SGX
United States of America,Skagway,Skagway Airport,SGY
Thailand,,Songkhla Airport,SGZ
China,Shanghai (Minhang),Shanghai Hongqiao International Airport,SHA
Japan,Nakashibetsu,Nakashibetsu Airport,SHB
Ethiopia,Shire Inda Selassie,Shire Inda Selassie Airport,SHC
United States of America,Weyers Cave,Shenandoah Valley Regional Airport,SHD
China,"Hunnan, Shenyang",Shenyang Taoxian International Airport,SHE
China,Shihezi,Shihezi Huayuan Airport,SHF
United States of America,Shungnak,Shungnak Airport,SHG
United States of America,Shishmaref,Shishmaref Airport,SHH
Japan,Miyakojima,Miyako Shimojishima Airport,SHI
United Arab Emirates,Sharjah,Sharjah International Airport,SHJ
Lesotho,Sehonghong,Sehonghong Airport,SHK
India,Shillong,Shillong Airport,SHL
Japan,Shirahama,Nanki Shirahama Airport,SHM
United States of America,Shelton,Sanderson Field,SHN
Eswatini,Mpaka,King Mswati III International Airport,SHO
Australia,,Southport Airport,SHQ
United States of America,Sheridan,Sheridan County Airport,SHR
China,Jingzhou (Shashi),Jingzhou Shashi Airport,SHS
Australia,,Shepparton Airport,SHT
Australia,,Smith Point Airport,SHU
United States of America,Shreveport,Shreveport Regional Airport,SHV
Saudi Arabia,Sharurah,Sharurah Domestic Airport,SHW
United States of America,Shageluk,Shageluk Airport,SHX
Tanzania,Shinyanga,Shinyanga Airport,SHY
Lesotho,Seshutes,Seshutes Airport,SHZ
China,Xi'an (Baqiao),Xi'an Xiguan Airport,SIA
Republic of the Congo,Sibiti,Sibiti Airport,SIB
Panama,Las Perlas,San José Island Airport,SIC
Cape Verde,Espargos,Amílcar Cabral International Airport,SID
Nepal,Simara,Simara Airport,SIF
Puerto Rico,San Juan,Fernando Luis Ribas Dominicci Airport,SIG
Nepal,Silgadi Doti,Silgadi Doti Airport,SIH
Iceland,Siglufjörður,Siglufjörður Airport,SIJ
United States of America,Sikeston,Sikeston Memorial Municipal Airport,SIK
Papua New Guinea,Sila Mission,Sila Airport,SIL
Papua New Guinea,Simbai,Simbai Airport,SIM
Singapore,Singapore,Singapore Changi Airport,SIN
Australia,,Smithton Airport,SIO
Ukraine,Simferopol,Simferopol International Airport,SIP
Indonesia,Pasirkuning-Singkep Island,Dabo Airport,SIQ
Switzerland,Sion,Sion Airport,SIR
South Africa,Sishen,Sishen Airport,SIS
United States of America,Sitka,Sitka Rocky Gutierrez Airport,SIT
Nicaragua,Siuna,Siuna,SIU
United States of America,Sullivan,Sullivan County Airport,SIV
Indonesia,Parapat-Sumatra Island,Sibisa Airport,SIW
Australia,Singleton,Singleton Airport,SIX
Papua New Guinea,Sissano,Sissano Airport,SIZ
Peru,San Juan de Marcona,San Juan de Marcona Airport,SJA
Bolivia,San Joaquín,San Joaquín Airport,SJB
United States of America,San Jose,Norman Y. Mineta San Jose International Airport,SJC
Mexico,San José del Cabo,Aeropuerto Internacional de Los Cabos,SJD
Colombia,San José Del Guaviare,Jorge E. Gonzalez Torres Airport,SJE
Colombia,San Juan Del César,San Juan Del César Airport,SJH
Philippines,San Jose,San Jose Airport,SJI
Bosnia and Herzegovina,Sarajevo,Sarajevo International Airport,SJJ
Brazil,São José Dos Campos,Professor Urbano Ernesto Stumpf Airport,SJK
Brazil,São Gabriel da Cachoeira,São Gabriel da Cachoeira Airport,SJL
United States of America,St Johns,St Johns Industrial Air Park,SJN
Costa Rica,San José (Alajuela),Juan Santamaría International Airport,SJO
Brazil,São José do Rio Preto,Prof. Eribelto Manoel Reino State Airport,SJP
Zambia,Sesheke,Sesheke Airport,SJQ
Colombia,San Juan De Uraba,San Juan De Uraba Airport,SJR
Bolivia,San José de Chiquitos,San José De Chiquitos Airport,SJS
United States of America,San Angelo,San Angelo Regional Mathis Field,SJT
Puerto Rico,San Juan,Luis Munoz Marin International Airport,SJU
Bolivia,San Javier,San Javier Airport,SJV
China,Shijiazhuang,Shijiazhuang Zhengding International Airport,SJW
Belize,Sartaneja,Sartaneja Airport,SJX
Finland,Seinäjoki / Ilmajoki,Seinäjoki Airport,SJY
Portugal,Velas,São Jorge Airport,SJZ
United States of America,Spokane,Fairchild Air Force Base,SKA
Saint Kitts and Nevis,Basseterre,Robert L. Bradshaw International Airport,SKB
Papua New Guinea,Suki,Suki Airport,SKC
Uzbekistan,Samarkand,Samarkand Airport,SKD
Norway,Geiteryggen,Skien Airport,SKE
United States of America,San Antonio,Lackland Air Force Base,SKF
Greece,Thessaloniki,Thessaloniki Macedonia International Airport,SKG
Nepal,Surkhet,Surkhet Airport,SKH
United States of America,Shaktoolik,Shaktoolik Airport,SKK
Guyana,Skeldon,Skeldon Airport,SKM
Norway,Hadsel,"Stokmarknes Airport, Skagen",SKN
Nigeria,Sokoto,Sadiq Abubakar III International Airport,SKO
North Macedonia,Ilinden,Skopje International Airport,SKP
Lesotho,Sekakes,Sekakes Airport,SKQ
Ethiopia,Shakiso,Shakiso Airport,SKR
Denmark,Vojens,Skrydstrup Air Base,SKS
Pakistan,Sialkot,Sialkot International Airport,SKT
Greece,Skiros Island,Skiros Airport,SKU
Egypt,Saint Catherine,Saint Catherine International Airport,SKV
United States of America,Skwentna,Skwentna Airport,SKW
Russia,Saransk,Saransk Airport,SKX
Pakistan,Mirpur Khas,Sukkur Airport,SKZ
Argentina,Salta,Martin Miguel De Guemes International Airport,SLA
United States of America,Storm Lake,Storm Lake Municipal Airport,SLB
United States of America,Salt Lake City,Salt Lake City International Airport,SLC
Slovakia,Sliač,Sliač Airport,SLD
United States of America,Salem,Salem-Willamette Valley Airport/McNary Field,SLE
Saudi Arabia,As-Sulayyil,As-Sulayyil Airport,SLF
United States of America,Siloam Springs,Smith Field,SLG
Vanuatu,Sola,Sola Airport,SLH
Zambia,Solwesi,Solwesi Airport,SLI
Australia,Karijini National Park,Solomon Airport,SLJ
United States of America,Saranac Lake,Adirondack Regional Airport,SLK
Oman,Salalah,Salalah Airport,SLL
Spain,Salamanca,Salamanca Airport,SLM
United States of America,Salina,Salina Municipal Airport,SLN
United States of America,Salem,Salem–Leckrone Airport,SLO
Mexico,San Luis Potosí,Ponciano Arriaga International Airport,SLP
United States of America,Sleetmute,Sleetmute Airport,SLQ
United States of America,Sulphur Springs,Sulphur Springs Municipal Airport,SLR
United States of America,Salida,Salida Airport - Harriet Alexander Field,SLT
Saint Lucia,Castries,George F. L. Charles Airport,SLU
India,Jubbarhatti,Shimla Airport,SLV
Mexico,Saltillo,Plan De Guadalupe International Airport,SLW
Turks and Caicos Islands,Salt Cay,Salt Cay Airport,SLX
Russia,Salekhard,Salekhard Airport,SLY
Brazil,São Luís,Marechal Cunha Machado International Airport,SLZ
Portugal,Vila do Porto,Santa Maria Airport,SMA
Chile,Cerro Sombrero,Franco Bianco Airport,SMB
United States of America,Fort Wayne,Smith Field,SMD
United States of America,Somerset,Lake Cumberland Regional Airport,SME
United States of America,Sacramento,Sacramento International Airport,SMF
Papua New Guinea,Sapmanga,Sapmanga Airport,SMH
Greece,Samos Island,Samos Airport,SMI
Papua New Guinea,Sim,Sim Airport,SMJ
United States of America,St Michael,St Michael Airport,SMK
Bahamas,Stella Maris,Stella Maris Airport,SML
Malaysia,Semporna,Semporna Airport,SMM
United States of America,Salmon,Lemhi County Airport,SMN
United States of America,Santa Monica,Santa Monica Municipal Airport,SMO
Indonesia,Sampit,Sampit (Hasan) Airport,SMQ
Colombia,Santa Marta,Simón Bolívar International Airport,SMR
Madagascar,Vohilava,Sainte Marie Airport,SMS
Brazil,Sorriso,Adolino Bedin Regional Airport,SMT
United States of America,Sheep Mountain,Sheep Mountain Airport,SMU
Switzerland,Samedan,Samedan Airport,SMV
Western Sahara,Smara,Smara Airport,SMW
United States of America,Santa Maria,Santa Maria Public Airport Captain G Allan Hancock Field,SMX
Senegal,Simenti,Simenti Airport,SMY
Suriname,Stoelmanseiland,Stoelmanseiland Airport,SMZ
United States of America,Santa Ana,John Wayne Orange County International Airport,SNA
Australia,Milikapiti,Snake Bay Airport,SNB
Ecuador,Salinas,General Ulpiano Paez Airport,SNC
Cape Verde,Preguiça,Preguiça Airport,SNE
Venezuela,San Felipe,Sub Teniente Nestor Arias Airport,SNF
Bolivia,San Ignacio de Velasco,Capitán Av. Juan Cochamanidis S. Airport,SNG
Australia,,Stanthorpe Airport,SNH
Liberia,Greenville,Greenville/Sinoe Airport,SNI
Cuba,Sandino,San Julián Air Base,SNJ
United States of America,Snyder,Winston Field,SNK
United States of America,Shawnee,Shawnee Regional Airport,SNL
Bolivia,San Ignacio de Moxos,San Ignacio de Moxos Airport,SNM
Ireland,Shannon,Shannon Airport,SNN
Thailand,,Sakon Nakhon Airport,SNO
United States of America,St Paul Island,St Paul Island Airport,SNP
Mexico,San Quintín,San Quintín Military Airstrip,SNQ
France,Saint-Nazaire/Montoir,Saint-Nazaire-Montoir Airport,SNR
United States of America,Salinas,Salinas Municipal Airport,SNS
Colombia,Sabana de Torres,Las Cruces Airport,SNT
Cuba,Santa Clara,Abel Santamaria Airport,SNU
Venezuela,,Santa Elena de Uairen Airport,SNV
Myanmar,Thandwe,Thandwe Airport,SNW
Iran,Semnan,Semnan Municipal Airport,SNX
United States of America,Sidney,Sidney Municipal Airport Lloyd W Carr Field,SNY
Brazil,Rio de Janeiro,Santa Cruz Air Force Base,SNZ
Vietnam,Sóc Trăng,Sóc Trăng Airport,SOA
Hungary,Sármellék,Hévíz–Balaton Airport,SOB
Indonesia,Surakarta,Adisumarmo International Airport,SOC
Brazil,Sorocaba,Sorocaba Airport,SOD
Republic of the Congo,Souanke,Souanke Airport,SOE
Bulgaria,Sofia,Sofia Airport,SOF
Norway,Sogndal,"Sogndal Airport, Haukåsen",SOG
Colombia,Solita,Solita Airport,SOH
Norway,Sørkjosen,Sørkjosen Airport,SOJ
Lesotho,Semonkong,Semonkong Airport,SOK
United States of America,Solomon,Solomon State Field,SOL
Venezuela,El Tigre,San Tomé Airport,SOM
Vanuatu,Luganville,Santo Pekoa International Airport,SON
Sweden,Söderhamn,Söderhamn Airport,SOO
United States of America,Carthage,Moore County Airport,SOP
Indonesia,Sorong,Domine Eduard Osok Airport,SOQ
Syria,T2,Al Thaurah Airport,SOR
Finland,Sodankyla,Sodankyla Airport,SOT
United Kingdom,Southampton,Southampton Airport,SOU
United States of America,Seldovia,Seldovia Airport,SOV
United States of America,Show Low,Show Low Regional Airport,SOW
Colombia,Sogamoso,Alberto Lleras Camargo Airport,SOX
United Kingdom,Stronsay,Stronsay Airport,SOY
France,Solenzara,Solenzara (BA 126) Air Base,SOZ
United States of America,Spartanburg,Spartanburg Downtown Memorial Airport,SPA
Spain,"Sta Cruz de la Palma, La Palma Island",La Palma Airport,SPC
Bangladesh,Saidpur,Saidpur Airport,SPD
Malaysia,Sepulot,Sepulot Airport,SPE
United States of America,Spearfish,Black Hills Airport-Clyde Ice Field,SPF
United States of America,St Petersburg,Albert Whitted Airport,SPG
Papua New Guinea,Sopu,Sopu Airport,SPH
United States of America,Springfield,Abraham Lincoln Capital Airport,SPI
Greece,Sparti,Sparti Airfield,SPJ
Germany,Trier,Spangdahlem Air Base,SPM
Northern Mariana Islands,"I Fadang, Saipan",Saipan International Airport,SPN
Angola,Menongue,Menongue Airport,SPP
Belize,San Pedro,John Greif II Airport,SPR
United States of America,Wichita Falls,Wichita Falls Municipal Airport / Sheppard Air Force Base,SPS
